**************** bmn_run479211_raw Chamber 1 primary equalization *******************************

Chamber #1 preliminary channel offsets (average is 4162.954590)
   strip 23 time shift (left+right)/2 = -28.736328
   strip 24 time shift (left+right)/2 = 23.263672
   strip 25 time shift (left+right)/2 = 7.263672
   strip 26 time shift (left+right)/2 = 15.263672
   strip 27 time shift (left+right)/2 = -20.736328
   strip 28 time shift (left+right)/2 = -8.736328
   strip 29 time shift (left+right)/2 = 0.000000
   strip 30 time shift (left+right)/2 = 7.263672
   strip 31 time shift (left+right)/2 = -12.736328
**************** bmn_run479211_raw Chamber 8 primary equalization *******************************

Chamber #8 preliminary channel offsets (average is 9702.134766)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = -21.134766
   strip 2 time shift (left+right)/2 = 38.865234
   strip 3 time shift (left+right)/2 = 28.865234
   strip 4 time shift (left+right)/2 = 20.865234
   strip 5 time shift (left+right)/2 = 30.865234
   strip 6 time shift (left+right)/2 = 28.865234
   strip 7 time shift (left+right)/2 = -18.467773
   strip 8 time shift (left+right)/2 = 10.865234
   strip 9 time shift (left+right)/2 = -15.134766
   strip 10 time shift (left+right)/2 = -18.134766
   strip 11 time shift (left+right)/2 = -19.134766
   strip 12 time shift (left+right)/2 = -15.134766
   strip 13 time shift (left+right)/2 = 69.532227
   strip 14 time shift (left+right)/2 = -3.134766
   strip 15 time shift (left+right)/2 = -11.801758
   strip 16 time shift (left+right)/2 = -25.134766
   strip 17 time shift (left+right)/2 = -20.134766
   strip 18 time shift (left+right)/2 = -28.134766
   strip 19 time shift (left+right)/2 = -5.134766
   strip 20 time shift (left+right)/2 = -11.134766
   strip 21 time shift (left+right)/2 = -19.134766
   strip 22 time shift (left+right)/2 = -10.134766
   strip 23 time shift (left+right)/2 = 22.865234
   strip 24 time shift (left+right)/2 = -27.134766
   strip 25 time shift (left+right)/2 = 55.865234
   strip 26 time shift (left+right)/2 = -5.134766
   strip 27 time shift (left+right)/2 = 26.198242
   strip 28 time shift (left+right)/2 = -27.134766
   strip 29 time shift (left+right)/2 = -19.134766
   strip 30 time shift (left+right)/2 = -0.134766
   strip 31 time shift (left+right)/2 = -13.934570
**************** bmn_run479211_raw Chamber 9 primary equalization *******************************

Chamber #9 preliminary channel offsets (average is 3898.947266)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = -13.947266
   strip 2 time shift (left+right)/2 = -3.947266
   strip 3 time shift (left+right)/2 = -29.947266
   strip 4 time shift (left+right)/2 = -35.947266
   strip 5 time shift (left+right)/2 = -33.947266
   strip 6 time shift (left+right)/2 = 40.052734
   strip 7 time shift (left+right)/2 = -37.947266
   strip 8 time shift (left+right)/2 = -33.947266
   strip 9 time shift (left+right)/2 = 58.052734
   strip 10 time shift (left+right)/2 = 0.000000
   strip 11 time shift (left+right)/2 = 0.000000
   strip 12 time shift (left+right)/2 = 0.000000
   strip 13 time shift (left+right)/2 = 26.052734
   strip 14 time shift (left+right)/2 = 25.052734
   strip 15 time shift (left+right)/2 = 0.000000
   strip 16 time shift (left+right)/2 = 0.000000
   strip 17 time shift (left+right)/2 = -25.947266
   strip 18 time shift (left+right)/2 = 0.000000
   strip 19 time shift (left+right)/2 = 0.000000
   strip 20 time shift (left+right)/2 = -19.947266
   strip 21 time shift (left+right)/2 = 0.000000
   strip 22 time shift (left+right)/2 = 0.000000
   strip 23 time shift (left+right)/2 = 0.000000
   strip 24 time shift (left+right)/2 = 50.052734
   strip 25 time shift (left+right)/2 = 18.052734
   strip 26 time shift (left+right)/2 = 8.052734
   strip 27 time shift (left+right)/2 = -11.947266
   strip 28 time shift (left+right)/2 = -27.947266
   strip 29 time shift (left+right)/2 = 0.000000
   strip 30 time shift (left+right)/2 = 50.052734
   strip 31 time shift (left+right)/2 = 0.000000
**************** bmn_run479211_raw Chamber 10 primary equalization *******************************

Chamber #10 preliminary channel offsets (average is 9688.548828)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = -27.548828
   strip 2 time shift (left+right)/2 = 55.651367
   strip 3 time shift (left+right)/2 = -11.548828
   strip 4 time shift (left+right)/2 = -29.548828
   strip 5 time shift (left+right)/2 = 47.593750
   strip 6 time shift (left+right)/2 = -28.548828
   strip 7 time shift (left+right)/2 = 17.451172
   strip 8 time shift (left+right)/2 = -26.048828
   strip 9 time shift (left+right)/2 = -27.548828
   strip 10 time shift (left+right)/2 = -7.548828
   strip 11 time shift (left+right)/2 = -17.048828
   strip 12 time shift (left+right)/2 = 23.784180
   strip 13 time shift (left+right)/2 = -20.548828
   strip 14 time shift (left+right)/2 = -19.048828
   strip 15 time shift (left+right)/2 = -21.215820
   strip 16 time shift (left+right)/2 = 39.451172
   strip 17 time shift (left+right)/2 = -20.548828
   strip 18 time shift (left+right)/2 = -37.548828
   strip 19 time shift (left+right)/2 = 17.951172
   strip 20 time shift (left+right)/2 = -32.881836
   strip 21 time shift (left+right)/2 = 28.451172
   strip 22 time shift (left+right)/2 = 56.451172
   strip 23 time shift (left+right)/2 = -20.548828
   strip 24 time shift (left+right)/2 = -28.749023
   strip 25 time shift (left+right)/2 = 18.951172
   strip 26 time shift (left+right)/2 = 50.451172
   strip 27 time shift (left+right)/2 = -11.548828
   strip 28 time shift (left+right)/2 = -8.548828
   strip 29 time shift (left+right)/2 = -22.548828
   strip 30 time shift (left+right)/2 = 63.451172
   strip 31 time shift (left+right)/2 = -0.548828
**************** bmn_run479211_raw Chamber 11 primary equalization *******************************

Chamber #11 preliminary channel offsets (average is 9419.502930)
   strip 0 time shift (left+right)/2 = 0.000000
